cycle,latency,emergent_connections,avg_top_k_strength
1,3.3200361728668213,0,0.9
2,10.426187992095947,0,0.9
3,36.048845052719116,0,0.9
4,36.23912596702576,0,0.9
5,35.668131828308105,0,0.9
6,36.11893105506897,0,0.9
7,35.8985698223114,0,0.9
8,36.017695903778076,0,0.9
9,36.34829115867615,0,0.9
10,36.37387013435364,0,0.9
11,35.114871978759766,0,0.9
12,36.50238609313965,0,0.9
13,35.6707022190094,0,0.9
14,36.42188000679016,0,0.9
15,35.561047077178955,0,0.9
16,36.51583504676819,0,0.9
17,37.552332162857056,0,0.9
18,33.99901103973389,0,0.9
19,36.14783596992493,0,0.9
20,36.11673092842102,0,0.9
